_id,quotes,authors,tags,,,,,,
"ObjectId(""5e962043474d7bd2f7af394c"")","[“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”""]""","[Albert Einstein""]""","[change""",deep-thoughts,thinking,"world]""",,,
"ObjectId(""5e962044474d7bd2f7af394d"")",[“It is our choices, Harry, that show what we truly are," far more than our abilities.”""]""","[J.K. Rowling""]""","[abilities""","choices]""",,
"ObjectId(""5e962044474d7bd2f7af394e"")","[“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”""]""","[Albert Einstein""]""","[inspirational""",life,live,miracle,"miracles]""",,
"ObjectId(""5e962044474d7bd2f7af394f"")",[“The person, be it gentleman or lady, who has not pleasure in a good novel," must be intolerably stupid.”""]""","[Jane Austen""]""","[aliteracy""",books,classic,"humor]"""
"ObjectId(""5e962044474d7bd2f7af3950"")",[“Imperfection is beauty," madness is genius and it's better to be absolutely ridiculous than absolutely boring.”""]""","[Marilyn Monroe""]""","[be-yourself""","inspirational]""",,,,
"ObjectId(""5e962044474d7bd2f7af3951"")","[“Try not to become a man of success. Rather become a man of value.”""]""","[Albert Einstein""]""","[adulthood""",success,"value]""",,,,
"ObjectId(""5e962044474d7bd2f7af3952"")","[“It is better to be hated for what you are than to be loved for what you are not.”""]""","[André Gide""]""","[life""","love]""",,,,,
"ObjectId(""5e962044474d7bd2f7af3953"")",[“I have not failed. I've just found 10,"000 ways that won't work.”""]""","[Thomas A. Edison""]""","[edison""",failure,inspirational,"paraphrased]""",,
"ObjectId(""5e962044474d7bd2f7af3954"")","[“A woman is like a tea bag; you never know how strong it is until it's in hot water.”""]""","[Eleanor Roosevelt""]""","[misattributed-eleanor-roosevelt""]""",,,,,,
"ObjectId(""5e962044474d7bd2f7af3955"")",[“A day without sunshine is like, you know," night.”""]""","[Steve Martin""]""","[humor""",obvious,"simile]""",,
